name,affiliation,department,gold_email,gold_website
Allen Ferrell,Harvard University,Harvard Law School,,
Alma Cohen,Harvard University,Harvard Law School,,
Andrew Manuel Crespo,Harvard University,Harvard Law School,,
Annette Gordon-Reed,Harvard University,Harvard Law School,,
Benjamin Eidelson,Harvard University,Harvard Law School,,
Charles Donahue,Harvard University,Harvard Law School,,
Christine A. Desan,Harvard University,Harvard Law School,,
Christopher Bavitz,Harvard University,Harvard Law School,,
Einer R. Elhauge,Harvard University,Harvard Law School,,
Emily M. Broad Leib,Harvard University,Harvard Law School,,
Esme Caramello,Harvard University,Harvard Law School,,
Gabriella Blum,Harvard University,Harvard Law School,,
Guy-Uriel Charles,Harvard University,Harvard Law School,,
Howell E. Jackson,Harvard University,Harvard Law School,,
I. Glenn Cohen,Harvard University,Harvard Law School,,
Idriss Fofana,Harvard University,Harvard Law School,,
Jack Landman Goldsmith,Harvard University,Harvard Law School,,
Jacob E. Gersen,Harvard University,Harvard Law School,,
Janet Halley,Harvard University,Harvard Law School,,
Jared Ellias,Harvard University,Harvard Law School,,
Jeannie Suk Gersen,Harvard University,Harvard Law School,,
Jesse M. Fried,Harvard University,Harvard Law School,,
Jim Greiner,Harvard University,Harvard Law School,,
Jody Freeman,Harvard University,Harvard Law School,,
John C.P. Goldberg,Harvard University,Harvard Law School,,
John Coates,Harvard University,Harvard Law School,,
Jon D. Hanson,Harvard University,Harvard Law School,,
Kristen Eichensehr,Harvard University,Harvard Law School,,
Lucian A. Bebchuk,Harvard University,Harvard Law School,,
Main Menu,Harvard University,Harvard Law School,,
Martha A. Field,Harvard University,Harvard Law School,,
Maureen Brady,Harvard University,Harvard Law School,,
Michael Gregory,Harvard University,Harvard Law School,,
Mihir A. Desai,Harvard University,Harvard Law School,,
Nikolas Bowie,Harvard University,Harvard Law School,,
Noah Feldman,Harvard University,Harvard Law School,,
Richard H. Fallon Jr.,Harvard University,Harvard Law School,,
Ruth Greenwood,Harvard University,Harvard Law School,,
Ryan D. Doerfler,Harvard University,Harvard Law School,,
Sabrineh Ardalan,Harvard University,Harvard Law School,,
Scott Brewer,Harvard University,Harvard Law School,,
Search & Filter,Harvard University,Harvard Law School,,
Sharon Block,Harvard University,Harvard Law School,,
Sheila Heen,Harvard University,Harvard Law School,,
Stephen Breyer,Harvard University,Harvard Law School,,
Susan H. Farbstein,Harvard University,Harvard Law School,,
Thomas J. Brennan,Harvard University,Harvard Law School,,
Tomiko Brown-Nagin,Harvard University,Harvard Law School,,
Tyler Giannini,Harvard University,Harvard Law School,,
William P. Alford,Harvard University,Harvard Law School,,
William W. Fisher,Harvard University,Harvard Law School,,
Yochai Benkler,Harvard University,Harvard Law School,,
Main navigation,Harvard University,Harvard Kennedy School,,
Main navigation Mobile,Harvard University,Harvard Kennedy School,,
Affiliates Directory,Harvard University,Harvard Graduate School of Design,,
Alumni & Support,Harvard University,Harvard Graduate School of Design,,
Alumni and Friends,Harvard University,Harvard Graduate School of Design,,
Application Deadlines,Harvard University,Harvard Graduate School of Design,,
Bill McKibben “A Fresh Start for Our Cities”,Harvard University,Harvard Graduate School of Design,,
