name,affiliation,department,gold_email,gold_website
Emelia J. Benjamin,Boston University,Medicine,,
Kenneth C. Anderson,Boston University,Medicine,,
H. Eugene Stanley,Boston University,Physics and Astronomy,,
Martin G. Larson,Boston University,Medicine,,
Jeffrey L. Cummings,Boston University,Medicine,,
L. Adrienne Cupples,Boston University,"Biochemistry, Genetics and Molecular Biology",,
Paul G. Richardson,Boston University,Medicine,,
David T. Felson,Boston University,Medicine,,
Donna Neuberg,Boston University,Medicine,,
Nikhil C. Munshi,Boston University,Medicine,,
Michael F. Holick,Boston University,Medicine,,
Sudha Seshadri,Boston University,Medicine,,
Jiawei Han,Boston University,Computer Science,,
Donald M. Lloyd‐Jones,Boston University,Medicine,,
Rudolph E. Tanzi,Boston University,Medicine,,
Alice K. Jacobs,Boston University,Medicine,,
S. P. Ahlen,Boston University,Physics and Astronomy,,
F. Golf,Boston University,Physics and Astronomy,,
Richard M. Stone,Boston University,Medicine,,
Benjamin K. Sovacool,Boston University,Environmental Science,,
Vivette D. D’Agati,Boston University,Medicine,,
Alexa Beiser,Boston University,Medicine,,
I. Suarez,Boston University,Physics and Astronomy,,
Ranga B. Myneni,Boston University,Environmental Science,,
Jerome Ritz,Boston University,Medicine,,
George Q. Daley,Boston University,"Biochemistry, Genetics and Molecular Biology",,
David H. Barlow,Boston University,Psychology,,
John B. Mulliken,Boston University,"Biochemistry, Genetics and Molecular Biology",,
Jeff A. Sloan,Boston University,Medicine,,
Susan R. Heckbert,Boston University,Medicine,,
Christopher S. Chen,Boston University,"Biochemistry, Genetics and Molecular Biology",,
Bruce Fischl,Boston University,Medicine,,
Donald Küfe,Boston University,"Biochemistry, Genetics and Molecular Biology",,
Çharles N. Bernstein,Boston University,"Biochemistry, Genetics and Molecular Biology",,
Hyon K. Choi,Boston University,Medicine,,
David A. Reardon,Boston University,Medicine,,
Joseph H. Antin,Boston University,Medicine,,
Philip Greenland,Boston University,Medicine,,
Michael J. Barry,Boston University,Medicine,,
Jeffrey N. Katz,Boston University,Medicine,,
Kim T. Mueser,Boston University,Medicine,,
J. M. Butler,Boston University,Physics and Astronomy,,
L. Ruby Leung,Boston University,Environmental Science,,
