name,affiliation,department,gold_email,gold_website
Affiliated Faculty,Northeastern University,Khoury College of Computer Sciences,,
Ahmed Agha,Northeastern University,Khoury College of Computer Sciences,,
Align Programs,Northeastern University,Khoury College of Computer Sciences,,
Align Students,Northeastern University,Khoury College of Computer Sciences,,
All People,Northeastern University,Khoury College of Computer Sciences,,
Amal Ahmed,Northeastern University,Khoury College of Computer Sciences,,
Amanda Shayna Ahteck,Northeastern University,Khoury College of Computer Sciences,,
Anis Abdulle,Northeastern University,Khoury College of Computer Sciences,,
Ayush Agrawal,Northeastern University,Khoury College of Computer Sciences,,
Belonging at Khoury College,Northeastern University,Khoury College of Computer Sciences,,
Careers at Khoury College,Northeastern University,Khoury College of Computer Sciences,,
Clubs and Organizations,Northeastern University,Khoury College of Computer Sciences,,
Co-op Faculty,Northeastern University,Khoury College of Computer Sciences,,
Co-ops and Internships,Northeastern University,Khoury College of Computer Sciences,,
Column one,Northeastern University,Khoury College of Computer Sciences,,
Column two,Northeastern University,Khoury College of Computer Sciences,,
Combined Majors,Northeastern University,Khoury College of Computer Sciences,,
Community Partnerships,Northeastern University,Khoury College of Computer Sciences,,
Dean’s Welcome To Our Community,Northeastern University,Khoury College of Computer Sciences,,
Emeritus Faculty,Northeastern University,Khoury College of Computer Sciences,,
Everaldo Marques de Aguiar Junior,Northeastern University,Khoury College of Computer Sciences,,
Experiential Learning,Northeastern University,Khoury College of Computer Sciences,,
Federal Landscape: Frequently Asked Questions,Northeastern University,Khoury College of Computer Sciences,,
Global Campus Experience,Northeastern University,Khoury College of Computer Sciences,,
Global Campuses,Northeastern University,Khoury College of Computer Sciences,,
Haneen Abderrazzaq,Northeastern University,Khoury College of Computer Sciences,,
Hiring a co-op student: What to know,Northeastern University,Khoury College of Computer Sciences,,
History of Khoury College,Northeastern University,Khoury College of Computer Sciences,,
Industry Partnerships: Collaborating on Research,Northeastern University,Khoury College of Computer Sciences,,
Industry Partnerships: Engaging Students,Northeastern University,Khoury College of Computer Sciences,,
Jane Adams,Northeastern University,Khoury College of Computer Sciences,,
Khoury College Facilities,Northeastern University,Khoury College of Computer Sciences,,
Khoury College at Conferences,Northeastern University,Khoury College of Computer Sciences,,
Khoury College of Computer Sciences,Northeastern University,Khoury College of Computer Sciences,,
Khoury College: Leading in AI innovation and education,Northeastern University,Khoury College of Computer Sciences,,
Khoury News,Northeastern University,Khoury College of Computer Sciences,,
Khoury organizational chart,Northeastern University,Khoury College of Computer Sciences,,
Labs and Groups,Northeastern University,Khoury College of Computer Sciences,,
Laura Adrien,Northeastern University,Khoury College of Computer Sciences,,
Life at Khoury College,Northeastern University,Khoury College of Computer Sciences,,
Master’s Programs and Graduate Certificates,Northeastern University,Khoury College of Computer Sciences,,
Master’s Students,Northeastern University,Khoury College of Computer Sciences,,
Master’s and Certificate Students,Northeastern University,Khoury College of Computer Sciences,,
Meet the people of Khoury College,Northeastern University,Khoury College of Computer Sciences,,
Mission and Vision,Northeastern University,Khoury College of Computer Sciences,,
Oath for Computing Professionals,Northeastern University,Khoury College of Computer Sciences,,
Partnering for Change,Northeastern University,Khoury College of Computer Sciences,,
PhD Programs,Northeastern University,Khoury College of Computer Sciences,,
PhD Students,Northeastern University,Khoury College of Computer Sciences,,
PlusOne Accelerated Master's Programs,Northeastern University,Khoury College of Computer Sciences,,
Post Docs,Northeastern University,Khoury College of Computer Sciences,,
Quick Links,Northeastern University,Khoury College of Computer Sciences,,
Read bio,Northeastern University,Khoury College of Computer Sciences,,
Resources For,Northeastern University,Khoury College of Computer Sciences,,
Sanchit Ahuja,Northeastern University,Khoury College of Computer Sciences,,
Shubh Agrawal,Northeastern University,Khoury College of Computer Sciences,,
Sushant Agarwal,Northeastern University,Khoury College of Computer Sciences,,
Teaching Faculty,Northeastern University,Khoury College of Computer Sciences,,
Tenured/Tenure-Track Faculty,Northeastern University,Khoury College of Computer Sciences,,
The partnership that fuels America,Northeastern University,Khoury College of Computer Sciences,,
Undergraduate Programs,Northeastern University,Khoury College of Computer Sciences,,
Undergraduate Students,Northeastern University,Khoury College of Computer Sciences,,
Uzair Ahmad,Northeastern University,Khoury College of Computer Sciences,,
Verizon Smart Campus Competition,Northeastern University,Khoury College of Computer Sciences,,
Why are students choosing Khoury College?,Northeastern University,Khoury College of Computer Sciences,,
Academic Departments,Northeastern University,College of Engineering,,
Academic Programs,Northeastern University,College of Engineering,,
Academics & Experiential Learning,Northeastern University,College of Engineering,,
Annual Reports,Northeastern University,College of Engineering,,
Artificial Intelligence in COE,Northeastern University,College of Engineering,,
Belonging in COE,Northeastern University,College of Engineering,,
"Business, Entrepreneurship and Leadership",Northeastern University,College of Engineering,,
Clubs & Organizations,Northeastern University,College of Engineering,,
Co-op & Experiential Learning,Northeastern University,College of Engineering,,
College Leadership,Northeastern University,College of Engineering,,
Current Students,Northeastern University,College of Engineering,,
Engineering Computer Center,Northeastern University,College of Engineering,,
Find Faculty & Staff,Northeastern University,College of Engineering,,
Global Engineering Education,Northeastern University,College of Engineering,,
Graduate School of Engineering,Northeastern University,College of Engineering,,
Honors & Distinctions,Northeastern University,College of Engineering,,
In the Media,Northeastern University,College of Engineering,,
Industry Partners,Northeastern University,College of Engineering,,
Industry Partnership,Northeastern University,College of Engineering,,
Message from Dean,Northeastern University,College of Engineering,,
Northeastern University College of Engineering,Northeastern University,College of Engineering,,
Publications & Patents,Northeastern University,College of Engineering,,
Quick Facts,Northeastern University,College of Engineering,,
Request Information,Northeastern University,College of Engineering,,
Skip Navigation,Northeastern University,College of Engineering,,
Social Media Directory,Northeastern University,College of Engineering,,
Spotlight Stories,Northeastern University,College of Engineering,,
Student Research,Northeastern University,College of Engineering,,
Talent Recruiters,Northeastern University,College of Engineering,,
The Brief,Northeastern University,College of Engineering,,
Undergraduate Studies,Northeastern University,College of Engineering,,
18 more fatalities,Northeastern University,College of Social Sciences and Humanities,,
All Stories,Northeastern University,College of Social Sciences and Humanities,,
Auroop Ganguly,Northeastern University,College of Social Sciences and Humanities,,
Belonging at CSSH,Northeastern University,College of Social Sciences and Humanities,,
College Governance,Northeastern University,College of Social Sciences and Humanities,,
College of Social Sciences and Humanities,Northeastern University,College of Social Sciences and Humanities,,
Connect with Us,Northeastern University,College of Social Sciences and Humanities,,
Current Grad Students,Northeastern University,College of Social Sciences and Humanities,,
Dean’s Strategy Council,Northeastern University,College of Social Sciences and Humanities,,
Dean’s Welcome,Northeastern University,College of Social Sciences and Humanities,,
Fact-checkers at Reuters,Northeastern University,College of Social Sciences and Humanities,,
Featured Projects,Northeastern University,College of Social Sciences and Humanities,,
"Follow us on
					Bluesky",Northeastern University,College of Social Sciences and Humanities,,
"Follow us on
					Facebook",Northeastern University,College of Social Sciences and Humanities,,
"Follow us on
					Instagram",Northeastern University,College of Social Sciences and Humanities,,
"Follow us on
					LinkedIn",Northeastern University,College of Social Sciences and Humanities,,
"Follow us on
					Twitter",Northeastern University,College of Social Sciences and Humanities,,
"Follow us on
					YouTube",Northeastern University,College of Social Sciences and Humanities,,
Global Opportunities,Northeastern University,College of Social Sciences and Humanities,,
Go to the Northeastern University homepage,Northeastern University,College of Social Sciences and Humanities,,
Graduate Programs Welcome Day,Northeastern University,College of Social Sciences and Humanities,,
Laura Kuhl,Northeastern University,College of Social Sciences and Humanities,,
"Majors, Minors, & Grad Degrees",Northeastern University,College of Social Sciences and Humanities,,
Make a Gift,Northeastern University,College of Social Sciences and Humanities,,
More Stories,Northeastern University,College of Social Sciences and Humanities,,
New Grad Students,Northeastern University,College of Social Sciences and Humanities,,
Northeastern Global News,Northeastern University,College of Social Sciences and Humanities,,
Northeastern University,Northeastern University,College of Social Sciences and Humanities,,
Org Chart,Northeastern University,College of Social Sciences and Humanities,,
People in this story,Northeastern University,College of Social Sciences and Humanities,,
Resources for Faculty,Northeastern University,College of Social Sciences and Humanities,,
"Schools, Departments, and Programs",Northeastern University,College of Social Sciences and Humanities,,
Search People,Northeastern University,College of Social Sciences and Humanities,,
Service Learning,Northeastern University,College of Social Sciences and Humanities,,
Skip to content,Northeastern University,College of Social Sciences and Humanities,,
Staff Development and Community at CSSH,Northeastern University,College of Social Sciences and Humanities,,
Stay In Touch,Northeastern University,College of Social Sciences and Humanities,,
Student Communities,Northeastern University,College of Social Sciences and Humanities,,
Student Pathways,Northeastern University,College of Social Sciences and Humanities,,
Student Research Opportunities,Northeastern University,College of Social Sciences and Humanities,,
Student Stories,Northeastern University,College of Social Sciences and Humanities,,
UAE has denied,Northeastern University,College of Social Sciences and Humanities,,
