name,affiliation,department,gold_email,gold_website
Irving L. Weissman,Stanford University,Medicine,,
M Snyder,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Gregg C. Fonarow,Stanford University,Medicine,,
Anne B. Newman,Stanford University,Medicine,,
Thomas C. Südhof,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Karl Deisseroth,Stanford University,Neuroscience,,
James J. Gross,Stanford University,Psychology,,
Howard Y. Chang,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Shanhui Fan,Stanford University,Engineering,,
Christopher B. Granger,Stanford University,Medicine,,
A. M. Litke,Stanford University,Physics and Astronomy,,
Glenn M. Chertow,Stanford University,Medicine,,
J. Jack Lee,Stanford University,Medicine,,
Peter M. Vitousek,Stanford University,Agricultural and Biological Sciences,,
T. P. A. Åkesson,Stanford University,Physics and Astronomy,,
Ian H. Gotlib,Stanford University,Psychology,,
Trevor Hastie,Stanford University,Mathematics,,
Brian K. Kobilka,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Eugene C. Butcher,Stanford University,Immunology and Microbiology,,
Richard N. Zare,Stanford University,Physics and Astronomy,,
N. Xu,Stanford University,Physics and Astronomy,,
Li Fei-Fei,Stanford University,Computer Science,,
Gary H. Glover,Stanford University,Medicine,,
Gregory W. Albers,Stanford University,Medicine,,
Robert West,Stanford University,Medicine,,
Sebastian Thrun,Stanford University,Engineering,,
Kenneth W. Mahaffey,Stanford University,Medicine,,
Tait D. Shanafelt,Stanford University,Medicine,,
Lawrence Steinman,Stanford University,Immunology and Microbiology,,
Peter Parham,Stanford University,Immunology and Microbiology,,
Allan L. Reiss,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Carol S. Dweck,Stanford University,Psychology,,
Helena C. Kraemer,Stanford University,Psychology,,
Robert A. Wise,Stanford University,Medicine,,
Melissa C. Southey,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Chwee Teck Lim,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Rudolf H. Moos,Stanford University,Medicine,,
Stephen J. Galli,Stanford University,Immunology and Microbiology,,
Eric Stice,Stanford University,Psychology,,
Stephen Boyd,Stanford University,Mathematics,,
Mads Melbye,Stanford University,Medicine,,
Aaron J.W. Hsueh,Stanford University,Medicine,,
Roger D. Kornberg,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Y. Yamamoto,Stanford University,Computer Science,,
Amit X. Garg,Stanford University,Medicine,,
Stephen Polasky,Stanford University,"Economics, Econometrics and Finance",,
Dan Boneh,Stanford University,Computer Science,,
E. Orlando,Stanford University,Physics and Astronomy,,
Harry B. Greenberg,Stanford University,Medicine,,
Jonathan K. Pritchard,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Mark Z. Jacobson,Stanford University,Earth and Planetary Sciences,,
C. Barr Taylor,Stanford University,Psychology,,
Robert M. Sapolsky,Stanford University,Neuroscience,,
Uta Francke,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Michael D. Miller,Stanford University,Medicine,,
Scott L. Delp,Stanford University,Engineering,,
Paul A. Heidenreich,Stanford University,Medicine,,
Yi Lu,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Parviz Moin,Stanford University,Engineering,,
Electron Kebebew,Stanford University,Medicine,,
Steven Chu,Stanford University,Physics and Astronomy,,
Joshua A. Salomon,Stanford University,"Economics, Econometrics and Finance",,
Mark A. Kay,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
David L. Donoho,Stanford University,Computer Science,,
David Spiegel,Stanford University,Medicine,,
David B. Lobell,Stanford University,Agricultural and Biological Sciences,,
James L. McClelland,Stanford University,Psychology,,
Alan F. Schatzberg,Stanford University,Medicine,,
Leland W.K. Chung,Stanford University,Medicine,,
Kari C. Nadeau,Stanford University,Medicine,,
Marcia L. Stefanick,Stanford University,Medicine,,
Paul S. Mischel,Stanford University,Medicine,,
Allen C. Steere,Stanford University,Immunology and Microbiology,,
Francis Fukuyama,Stanford University,Social Sciences,,
Leanne M. Williams,Stanford University,Neuroscience,,
E. Torrence,Stanford University,Physics and Astronomy,,
Stanley N. Cohen,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Edith V. Sullivan,Stanford University,Medicine,,
Alberto Salleo,Stanford University,Engineering,,
Stephen R. Palumbi,Stanford University,Environmental Science,,
Rodney C. Ewing,Stanford University,Materials Science,,
David A. Stevens,Stanford University,Medicine,,
Gary K. Steinberg,Stanford University,Medicine,,
Euan A. Ashley,Stanford University,Medicine,,
Timothy W. Lyons,Stanford University,Earth and Planetary Sciences,,
Bali Pulendran,Stanford University,Immunology and Microbiology,,
Jeffrey Pfeffer,Stanford University,"Business, Management and Accounting",,
William H. Robinson,Stanford University,Medicine,,
Stuart B. Goodman,Stanford University,Medicine,,
T. Kailath,Stanford University,Engineering,,
Mark Horowitz,Stanford University,Computer Science,,
Christian Guilleminault,Stanford University,Neuroscience,,
Jeffrey C. Allen,Stanford University,Medicine,,
Alice S. Whittemore,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Matt van de Rijn,Stanford University,Medicine,,
W. Stewart Agras,Stanford University,Psychology,,
Hazel Rose Markus,Stanford University,Psychology,,
W. E. Moerner,Stanford University,"Biochemistry, Genetics and Molecular Biology",,
Alvin E. Roth,Stanford University,"Economics, Econometrics and Finance",,
John S. Rumsfeld,Stanford University,Medicine,,
Ronald K. Hanson,Stanford University,Chemistry,,
Quynh‐Thu Le,Stanford University,Medicine,,
John H. Sampson,Stanford University,Medicine,,
James E. Lock,Stanford University,Medicine,,
