name,affiliation,department,canonical_website,website_confidence,canonical_email,email_confidence,phone,status,original_found_website,original_found_email,all_urls,all_emails
Çharles N. Bernstein,Boston University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,https://linkedin.com/in/john-bernstein-934a774,,https://linkedin.com/in/john-bernstein-934a774; https://linkedin.com/in/edward-bernstein-md-1761a36; https://linkedin.com/in/charles-glenn-54b31229; https://linkedin.com/in/charles-lindholm-76193a21; https://linkedin.com/in/bernice-lerner-5009276,
Michael J. Barry,Boston University,Medicine,,none,,none,,needs_review,https://linkedin.com/in/michael-jindra-8b600b34,,https://linkedin.com/in/michael-jindra-8b600b34; https://linkedin.com/in/michael-w-otto-8590b6161; https://scholar.google.com/citations?hl=en&user=pdvO_q4AAAAJ; https://advances.massgeneral.org/contributors/contributor.aspx?id=1745; https://linkedin.com/in/michael-albom-8148808,
Jeffrey N. Katz,Boston University,Medicine,,none,,none,,needs_review,https://linkedin.com/in/leannawkatz,,https://linkedin.com/in/leannawkatz; https://scholar.google.com/citations?user=3NkSK1wAAAAJ&hl=en; https://physiciandirectory.brighamandwomens.org/Details/1002; https://linkedin.com/in/januszkonrad; https://linkedin.com/in/jeffrey-katz-06103115,
Frank W. Roemer,Boston University,Medicine,,none,,none,,needs_review,https://linkedin.com/in/frank-w-roemer-m-d-222b9913,,https://linkedin.com/in/frank-w-roemer-m-d-222b9913; https://linkedin.com/in/ca-rothermund-franklin-4780b574; https://linkedin.com/in/william-n-roemer-79485b28; https://linkedin.com/in/fredkleiner; https://linkedin.com/in/frank-roemer-b51b6411a,
Lester Kobzik,Boston University,Immunology and Microbiology,,none,,none,,needs_review,https://linkedin.com/in/klavalli,,https://linkedin.com/in/klavalli; https://linkedin.com/in/lester-kobzik-9557083; https://linkedin.com/in/eduard-kobzik-196120143; https://linkedin.com/in/igor-kramnik-6077104; https://linkedin.com/in/robert-lester-aliscad-aa984945,
Christopher L. Wu,Boston University,Medicine,,none,,none,,needs_review,https://www.linkedin.com/in/christopher-wu-0807a3b6,,https://www.linkedin.com/in/christopher-wu-0807a3b6; https://scholar.google.com/citations?user=ILiT0NAAAAAJ&hl=en; https://linkedin.com/in/chunshu-wu-295a44126; https://linkedin.com/in/christopher-schneider-0b420117; https://linkedin.com/in/chris-wells-289323a,
D. Gastler,Boston University,Physics and Astronomy,,none,,none,,needs_review,https://linkedin.com/in/dan-gastler-38b43418,,https://linkedin.com/in/dan-gastler-38b43418; https://linkedin.com/in/gurkan-goktug-4bb4a439; https://linkedin.com/in/douglas-zook-2213b86; https://linkedin.com/in/johanna-gastler-b24a38259; https://linkedin.com/in/klavalli,
Antonio Pisani,Boston University,Medicine,,none,,none,,needs_review,https://linkedin.com/in/antonio-pisani-96870a315,,https://linkedin.com/in/antonio-pisani-96870a315; https://linkedin.com/in/antonio-pisani-84b60a327; https://linkedin.com/in/augusto-ferraiuolo-9315ab42; https://linkedin.com/in/leonardo-antonio-pisani-62846a90; https://linkedin.com/in/rocco-palumbo-phd-77577754,
Robert Burton,Boston University,Environmental Science,,none,,none,,needs_review,https://linkedin.com/in/robert-murowchick-a61a8a4,,https://linkedin.com/in/robert-murowchick-a61a8a4; https://linkedin.com/in/robert-cadigan-67992611; https://linkedin.com/in/robert-carey-69024114; https://linkedin.com/in/fredkleiner; https://linkedin.com/in/robert-patman-9b29a557,
Sanjay Rastogi,Boston University,Materials Science,,none,,none,,needs_review,https://in.linkedin.com/in/sanjayrastogi,,https://in.linkedin.com/in/sanjayrastogi; https://linkedin.com/in/rishi-kapoor-9028ba243; https://linkedin.com/in/sanjay-rastogi-4a660aa5; https://linkedin.com/in/drsaloni-patel; https://linkedin.com/in/sanjay-rastogi-8b005b5,
Ingo Mueller‐Wodarg,Boston University,Physics and Astronomy,,none,,none,,needs_review,https://profiles.imperial.ac.uk/i.mueller-wodarg,,https://profiles.imperial.ac.uk/i.mueller-wodarg; https://scholar.google.co.il/citations?hl=th&user=Y3OLVNgAAAAJ; https://linkedin.com/in/ingomw; https://linkedin.com/in/reinhard-dr-bettzuege-67559847; https://linkedin.com/in/douglas-zook-2213b86,
Valentina Nardi,Boston University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,https://linkedin.com/in/nivea-bona-32635726,,https://linkedin.com/in/nivea-bona-32635726; https://linkedin.com/in/nora-gietz-phd-59961924; https://www.linkedin.com/in/valentina-nardi-aa7a5458; https://linkedin.com/in/valentina-nardi-624046192; https://linkedin.com/in/nora-gietz-59961924,
Jackie L. Whittaker,Boston University,Medicine,,none,,none,,needs_review,https://linkedin.com/in/maria-emilia-bianco-phd-msw-b640454,,https://linkedin.com/in/maria-emilia-bianco-phd-msw-b640454; https://linkedin.com/in/cristina-araujo-brinkerhoff; https://linkedin.com/in/betty-j-ruth-87a2974; https://linkedin.com/in/jackie-whittaker-260516113; https://linkedin.com/in/jackie-lerner-b4367211,
T. Pillai,Boston University,Physics and Astronomy,,none,,none,,needs_review,https://www.linkedin.com/in/tharapillai,,https://www.linkedin.com/in/tharapillai; https://en.wikipedia.org/wiki/Thushara_Pillai; https://linkedin.com/in/shiv-pillai-9517b31b; https://linkedin.com/in/januszkonrad; https://linkedin.com/in/scarlett-song-baa751176,
Linda L. Wong,Boston University,Medicine,,none,,none,,needs_review,https://www.linkedin.com/in/linda-wong-53096243,,https://www.linkedin.com/in/linda-wong-53096243; https://www.ratemyprofessors.com/professor/140229; https://linkedin.com/in/aleksandra-kasztalska-8984822b; https://linkedin.com/in/linda-wong-mueller-08531017; https://linkedin.com/in/linda-wong-76054911,
Richard Wilson,Boston University,"Business, Management and Accounting",,none,,none,,needs_review,https://linkedin.com/in/richard-primack-2058b5167,,https://linkedin.com/in/richard-primack-2058b5167; https://www.linkedin.com/in/richard-wilson-a4775b161; https://linkedin.com/in/richard-wilson-37767a16; https://linkedin.com/in/richardcornell; https://linkedin.com/in/john-dodson-b3145523,
John D. Hogan,Boston University,Psychology,,none,,none,,needs_review,https://en.wikipedia.org/wiki/John_D._Hogan,,https://en.wikipedia.org/wiki/John_D._Hogan; https://linkedin.com/in/john-hogan-8666625b; https://linkedin.com/in/john-straub-72b934b; https://linkedin.com/in/ann-fitzpatrick-6026a41; https://linkedin.com/in/john-dodson-b3145523,
Pew Latin American Fellow,Boston University,College of Arts and Sciences,,none,,none,,needs_review,https://www.linkedin.com/in/maritere-uriostegui-02648760,,https://www.linkedin.com/in/maritere-uriostegui-02648760; https://linkedin.com/in/cristina-araujo-brinkerhoff; https://linkedin.com/in/hugo-sepulveda-5686a6161; https://linkedin.com/in/valentina-gabriel-san-juan-villamizar-725a85207; https://linkedin.com/in/rebecca-ray-6b75bb18,
Understanding Long-Term Mobility in Nairobi’s Slums,Boston University,College of Arts and Sciences,,none,,none,,needs_review,https://sswr.confex.com/sswr/2026/webprogram/Session16669.html,lseresearchonline@lse.ac.uk,https://sswr.confex.com/sswr/2026/webprogram/Session16669.html; https://researchonline.lse.ac.uk/id/eprint/134639/1/kamunyori_politics-of-space--redacted.pdf; https://linkedin.com/in/loretta-lees-mae-facss-frsa-08b80110b; https://linkedin.com/in/steven-van-de-vijver-582120; https://linkedin.com/in/darienaw,lseresearchonline@lse.ac.uk
Boston University School of Public Health,Boston University,School of Public Health,,none,,none,,needs_review,https://linkedin.com/in/dr-alana-t-brennan-780b029,,https://linkedin.com/in/dr-alana-t-brennan-780b029; https://linkedin.com/in/ziming-xuan-63911960; https://linkedin.com/in/m-patricia-fabian-00062a5; https://linkedin.com/in/matthew-fox-7225b717; https://linkedin.com/in/nancy-scott-b48458a,
Community Health Sciences,Boston University,School of Public Health,,none,,none,,needs_review,https://linkedin.com/in/patricia-elliott-292a3659,,https://linkedin.com/in/patricia-elliott-292a3659; https://linkedin.com/in/carol-dolan-a0108691; https://linkedin.com/in/harold-cox-6b18a924; https://linkedin.com/in/wayne-lamorte-4615616; https://linkedin.com/in/ziming-xuan-63911960,
School of Public Health,Boston University,School of Public Health,,none,,none,,needs_review,https://linkedin.com/in/ziming-xuan-63911960,,https://linkedin.com/in/ziming-xuan-63911960; https://linkedin.com/in/m-patricia-fabian-00062a5; https://linkedin.com/in/m-patricia-fabi%C3%A1n-00062a5; https://linkedin.com/in/dr-alana-t-brennan-780b029; https://linkedin.com/in/nancy-scott-b48458a,
Bold Ideas Building a Better Future,Boston University,Wheelock College of Education,,none,,none,,needs_review,https://linkedin.com/in/rebeccapearlmartinez,,https://linkedin.com/in/rebeccapearlmartinez; https://linkedin.com/in/shelley-brown-29ab044; https://linkedin.com/in/ayush-singh-26220b178; https://linkedin.com/in/ifeanyi-victor-nwadukwe-md-b9568a258; https://linkedin.com/in/ahmed-hosny-43201717a,
More about Wheelock College of Education & Human Development,Boston University,Wheelock College of Education,,none,,none,,needs_review,https://linkedin.com/in/janine-bempechat-382b6011,,https://linkedin.com/in/janine-bempechat-382b6011; https://linkedin.com/in/banks-santilli-linda-1a341413; https://linkedin.com/in/jennifer-greif-green-641a7220a; https://linkedin.com/in/kyle-demeo-cook; https://linkedin.com/in/petra-hesse-a06bb5110,
Wheelock College of Education & Human Development,Boston University,Wheelock College of Education,,none,,none,,needs_review,https://linkedin.com/in/kyle-demeo-cook,,https://linkedin.com/in/kyle-demeo-cook; https://linkedin.com/in/janine-bempechat-382b6011; https://linkedin.com/in/jennifer-greif-green-641a7220a; https://linkedin.com/in/petra-hesse-a06bb5110; https://linkedin.com/in/banks-santilli-linda-1a341413,
Where Research Becomes Action,Boston University,Wheelock College of Education,,none,,none,,needs_review,https://linkedin.com/in/chris-hyeouk-hahm-ph-d-lcsw-4175a921,,https://linkedin.com/in/chris-hyeouk-hahm-ph-d-lcsw-4175a921; https://linkedin.com/in/mari-lynn-drainoni-a9679aa; https://linkedin.com/in/richard-saitz-23384024; https://linkedin.com/in/shelley-brown-29ab044; https://linkedin.com/in/muhamad-azhan-anuar-prof-madya-ir-ts-dr-ceng-mimeche-128543207,
