name,affiliation,department,canonical_website,website_confidence,canonical_email,email_confidence,phone,status,original_found_website,original_found_email,all_urls,all_emails
B. Wang,Northeastern University,Physics and Astronomy,,none,,none,,needs_review,https://linkedin.com/in/boran-wang-29a13735,,https://linkedin.com/in/boran-wang-29a13735; https://linkedin.com/in/yanzhi-wang-9677a562; https://linkedin.com/in/engang-wang-4b9b8780; https://linkedin.com/in/heming-wang-848221271; https://linkedin.com/in/pengfei-wang-23b7b3124,
Elizabeth A. Davis,Northeastern University,Medicine,,none,,none,,needs_review,https://scholar.google.com/citations?user=oE1dancAAAAJ&hl=en,,https://scholar.google.com/citations?user=oE1dancAAAAJ&hl=en; https://scholar.google.com/citations?user=80ePlr8AAAAJ&hl=en; https://scholar.google.com.au/citations?user=oE1dancAAAAJ&hl=hu; https://linkedin.com/in/elizabeth-maddock-dillon-678835b5; https://linkedin.com/in/patricia-davis-89830017,
Chun’an Tang,Northeastern University,Engineering,,none,,none,,needs_review,https://linkedin.com/in/jiafu-tang-56a04465,,https://linkedin.com/in/jiafu-tang-56a04465; https://linkedin.com/in/kliulinkin; https://linkedin.com/in/qi-zhang-0744b941; https://linkedin.com/in/hao-zhang-8840b449; https://linkedin.com/in/tao-xu-24850136,
Shaohua Luo,Northeastern University,Engineering,,none,,none,,needs_review,https://scispace.com/authors/shaohua-luo-2la0osddcx,appcontactsupport@scispace.com,https://scispace.com/authors/shaohua-luo-2la0osddcx; https://linkedin.com/in/lingling-luo-88511552; https://linkedin.com/in/kliulinkin; https://linkedin.com/in/hao-zhang-8840b449; https://linkedin.com/in/shaohua-zhang-52b64b8,appcontactsupport@scispace.com
Max Diem,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,https://scholar.google.com/citations?hl=en&user=dhtiAzQAAAAJ,,https://scholar.google.com/citations?hl=en&user=dhtiAzQAAAAJ; https://linkedin.com/in/max-ferber-093001257; https://linkedin.com/in/larissa-marchiori-pacheco-phd-a9808624; https://linkedin.com/in/max-diem-1a725115; https://linkedin.com/in/maxabrahms,
A. Hortiangtham,Northeastern University,Physics and Astronomy,,none,,none,,needs_review,https://www.osti.gov/servlets/purl/1454711,cms-publication-committee-chair@cern.ch,https://www.osti.gov/servlets/purl/1454711; https://escholarship.org/uc/item/0jq2z3r5; https://linkedin.com/in/yang-jun-735a6586; https://linkedin.com/in/tom-nakayama-ab28aba; https://linkedin.com/in/heming-wang-848221271,cms-publication-committee-chair@cern.ch
Liang Guo,Northeastern University,Environmental Science,,none,,none,,needs_review,https://scholar.google.com/citations?user=8js_mroAAAAJ&hl=en,,https://scholar.google.com/citations?user=8js_mroAAAAJ&hl=en; https://linkedin.com/in/ming-murray-li-b7bb4b125; https://linkedin.com/in/tao-xu-24850136; https://linkedin.com/in/guibing-guo-1a12a660; https://linkedin.com/in/li-guo-61850018,
Tohru Kozasa,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,https://linkedin.com/in/myojung-chung-00294064,,https://linkedin.com/in/myojung-chung-00294064; https://linkedin.com/in/michael-thornton-494695126; http://www.nm-gcoe.med.tohoku.ac.jp/english/investigators/igarashi/index.html; https://linkedin.com/in/elicia-cousins-9360a1b0; https://linkedin.com/in/tohru-tominaga-94a13854,
Yao Wang,Northeastern University,Engineering,,none,,none,,needs_review,https://linkedin.com/in/boran-wang-29a13735,,https://linkedin.com/in/boran-wang-29a13735; https://linkedin.com/in/engang-wang-4b9b8780; https://linkedin.com/in/yanzhi-wang-9677a562; https://linkedin.com/in/ziyu-wang-4b776a113; https://linkedin.com/in/tao-yang-96137632,
Britton W. Brewer,Northeastern University,Psychology,,none,,none,,needs_review,,,,
Jan Andzelm,Northeastern University,Physics and Astronomy,,none,,none,,needs_review,,,,
V. Srinivasan,Northeastern University,"Business, Management and Accounting",,none,,none,,needs_review,,,,
A. Wisecarver,Northeastern University,Physics and Astronomy,,none,,none,,needs_review,,,,
David Simón,Northeastern University,Medicine,,none,,none,,needs_review,,,,
Mauricio Santillana,Northeastern University,Mathematics,,none,,none,,needs_review,,,,
Michael A. Delichatsios,Northeastern University,Engineering,,none,,none,,needs_review,,,,
Jonathan H. Grabowski,Northeastern University,Environmental Science,,none,,none,,needs_review,,,,
Qingying Jia,Northeastern University,Energy,,none,,none,,needs_review,,,,
Cynthia Lee,Northeastern University,"Business, Management and Accounting",,none,,none,,needs_review,,,,
J. Blazek,Northeastern University,Physics and Astronomy,,none,,none,,needs_review,,,,
Shalom Avraham,Northeastern University,Medicine,,none,,none,,needs_review,,,,
David Chang,Northeastern University,Engineering,,none,,none,,needs_review,,,,
Wanzhong Yin,Northeastern University,Environmental Science,,none,,none,,needs_review,,,,
Tim P. Morris,Northeastern University,Mathematics,,none,,none,,needs_review,,,,
Dagmar Sternad,Northeastern University,Neuroscience,,none,,none,,needs_review,,,,
Sandra J. Shefelbine,Northeastern University,Medicine,,none,,none,,needs_review,,,,
Stefano Basagni,Northeastern University,Computer Science,,none,,none,,needs_review,,,,
Xu Cheng,Northeastern University,Materials Science,,none,,none,,needs_review,,,,
Young Lee,Northeastern University,Medicine,,none,,none,,needs_review,,,,
Jan Vítek,Northeastern University,Computer Science,,none,,none,,needs_review,,,,
Aaron R. Seitz,Northeastern University,Neuroscience,,none,,none,,needs_review,,,,
Mingzhong Wu,Northeastern University,Physics and Astronomy,,none,,none,,needs_review,,,,
