name,affiliation,department,canonical_website,website_confidence,canonical_email,email_confidence,phone,status,original_found_website,original_found_email,all_urls,all_emails
Eric P. Winer,Yale University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,,,,
S. M. Farrington,Yale University,Physics and Astronomy,,none,,none,,needs_review,,,,
Peter J. Schwartz,Yale University,Medicine,,none,,none,,needs_review,,,,
Donna Spiegelman,Yale University,Medicine,,none,,none,,needs_review,,,,
S. Palestini,Yale University,Physics and Astronomy,,none,,none,,needs_review,,,,
Thomas S. Huang,Yale University,Computer Science,,none,,none,,needs_review,,,,
Alan E. Kazdin,Yale University,Psychology,,none,,none,,needs_review,,,,
Derek C. Angus,Yale University,Medicine,,none,,none,,needs_review,,,,
Ronald S. Duman,Yale University,Neuroscience,,none,,none,,needs_review,,,,
L. Romero,Yale University,Physics and Astronomy,,none,,none,,needs_review,,,,
Roy S. Herbst,Yale University,Medicine,,none,,none,,needs_review,,,,
M. Šumbera,Yale University,Physics and Astronomy,,none,,none,,needs_review,,,,
David L. Rimm,Yale University,Medicine,,none,,none,,needs_review,,,,
Lieping Chen,Yale University,Immunology and Microbiology,,none,,none,,needs_review,,,,
Alexandra J. Lansky,Yale University,Medicine,,none,,none,,needs_review,,,,
Thomas D. Pollard,Yale University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,,,,
Fred R. Volkmar,Yale University,Neuroscience,,none,,none,,needs_review,,,,
Neil Pearce,Yale University,Medicine,,none,,none,,needs_review,,,,
Lee H. Schwamm,Yale University,Medicine,,none,,none,,needs_review,,,,
J. H. Thomas,Yale University,Physics and Astronomy,,none,,none,,needs_review,,,,
Michelle L. Bell,Yale University,Environmental Science,,none,,none,,needs_review,,,,
Michael Simons,Yale University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,,,,
David Schoenfeld,Yale University,Medicine,,none,,none,,needs_review,,,,
Lajos Pusztai,Yale University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,,,,
Tamás L. Horváth,Yale University,Neuroscience,,none,,none,,needs_review,,,,
Joan A. Steitz,Yale University,"Biochemistry, Genetics and Molecular Biology",,none,,none,,needs_review,,,,
William Oh,Yale University,Medicine,,none,,none,,needs_review,,,,
Silvio E. Inzucchi,Yale University,Medicine,,none,,none,,needs_review,,,,
Douglas L. Rothman,Yale University,Medicine,,none,,none,,needs_review,,,,
Alice B. Gottlieb,Yale University,Immunology and Microbiology,,none,,none,,needs_review,,,,
A. White,Yale University,Physics and Astronomy,,none,,none,,needs_review,,,,
Richard Bucala,Yale University,Immunology and Microbiology,,none,,none,,needs_review,,,,
Naftali Kaminski,Yale University,Medicine,,none,,none,,needs_review,,,,
